,date,name,region_id,value
267,2020-04-13,one_day,mc-monaco,3
268,2020-04-13,one_day,mx-df,13
269,2020-04-13,one_day,nl-randstad,6
270,2020-04-13,one_day,pt-lisbon,9
271,2020-04-13,one_day,ru-moscow,16
272,2020-04-13,one_day,ru-stpetersburg,28
273,2020-04-13,one_day,se-stockholm,25
274,2020-04-13,one_day,sg-singapore,13
275,2020-04-13,one_day,tr-istanbul,8
276,2020-04-13,one_day,uk-birmingham,10
277,2020-04-13,one_day,uk-london,8
278,2020-04-13,one_day,uk-manchester,10
279,2020-04-13,one_day,us-boston,5
280,2020-04-13,one_day,us-chicago,7
281,2020-04-13,one_day,us-dc,5
282,2020-04-13,one_day,us-la,11
283,2020-04-13,one_day,us-nyc,6
284,2020-04-13,one_day,us-philadelphia,11
285,2020-04-13,one_day,us-seattle,8
286,2020-04-13,one_day,us-sf,5
287,2020-04-12,one_day,at-vienna,4
288,2020-04-12,one_day,au-melbourne,9
289,2020-04-12,one_day,au-sydney,12
290,2020-04-12,one_day,be-brussels,7
291,2020-04-12,one_day,br-saopaulo,12
292,2020-04-12,one_day,ca-montreal,8
293,2020-04-12,one_day,ca-toronto,13
294,2020-04-12,one_day,ca-vancouver,14
295,2020-04-12,one_day,de-berlin,14
296,2020-04-12,one_day,de-hamburg,13
297,2020-04-12,one_day,de-rhineruhr,14
298,2020-04-12,one_day,dk-copenhagen,10
299,2020-04-12,one_day,es-barcelona,2
300,2020-04-12,one_day,es-madrid,4
301,2020-04-12,one_day,fr-lyon,3
302,2020-04-12,one_day,fr-paris,5
303,2020-04-12,one_day,hk-hongkong,42
304,2020-04-12,one_day,it-milan,2
305,2020-04-12,one_day,it-rome,3
306,2020-04-12,one_day,jp-tokyo,5
307,2020-04-12,one_day,kr-seoul,34
308,2020-04-12,one_day,mc-monaco,2
309,2020-04-12,one_day,mx-df,10
310,2020-04-12,one_day,nl-randstad,6
311,2020-04-12,one_day,pt-lisbon,8
312,2020-04-12,one_day,ru-moscow,16
